surat_nomor,ayat_nomor,audio_01_juhany,audio_02_qasim,audio_03_sudais,audio_04_dossari,audio_05_afasy,audio_06_yasser
1,1,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/001001.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/001001.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/001001.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/001001.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/001001.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/001001.mp3
1,2,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/001002.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/001002.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/001002.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/001002.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/001002.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/001002.mp3
1,3,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/001003.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/001003.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/001003.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/001003.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/001003.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/001003.mp3
1,4,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/001004.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/001004.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/001004.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/001004.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/001004.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/001004.mp3
1,5,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/001005.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/001005.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/001005.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/001005.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/001005.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/001005.mp3
1,6,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/001006.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/001006.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/001006.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/001006.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/001006.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/001006.mp3
1,7,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/001007.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/001007.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/001007.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/001007.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/001007.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/001007.mp3
2,1,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002001.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002001.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002001.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002001.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002001.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002001.mp3
2,2,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002002.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002002.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002002.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002002.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002002.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002002.mp3
2,3,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002003.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002003.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002003.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002003.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002003.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002003.mp3
